"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","86,400.0","85,500.0","87,500.0","85,300.0","2.33M","1.29%"
"Dec 30, 2021","85,300.0","85,300.0","85,600.0","85,100.0","893.10K","0.12%"
"Dec 29, 2021","85,200.0","85,500.0","85,600.0","85,100.0","945.40K","-0.35%"
"Dec 28, 2021","85,500.0","86,200.0","86,200.0","85,200.0","1.54M","-0.70%"
"Dec 27, 2021","86,100.0","86,000.0","86,400.0","85,700.0","1.14M","0.12%"
"Dec 24, 2021","86,000.0","84,700.0","86,000.0","84,700.0","1.15M","1.53%"
"Dec 23, 2021","84,700.0","85,400.0","85,400.0","84,500.0","2.15M","-0.82%"
"Dec 22, 2021","85,400.0","85,700.0","86,200.0","85,300.0","1.84M","-0.12%"
"Dec 21, 2021","85,500.0","85,800.0","86,000.0","85,500.0","1.19M","-0.23%"
"Dec 20, 2021","85,700.0","86,000.0","86,300.0","85,600.0","1.81M","0.00%"
"Dec 17, 2021","85,700.0","86,600.0","86,700.0","85,700.0","2.66M","-1.04%"
"Dec 16, 2021","86,600.0","86,300.0","86,600.0","86,000.0","1.61M","0.35%"
"Dec 15, 2021","86,300.0","86,400.0","86,700.0","86,300.0","1.21M","0.00%"
"Dec 14, 2021","86,300.0","86,400.0","86,900.0","86,200.0","1.67M","-0.12%"
"Dec 13, 2021","86,400.0","86,300.0","86,800.0","86,000.0","1.50M","0.12%"
"Dec 10, 2021","86,300.0","86,500.0","87,000.0","85,800.0","1.49M","-0.80%"
"Dec 09, 2021","87,000.0","85,900.0","87,100.0","85,700.0","1.45M","1.16%"
"Dec 08, 2021","86,000.0","86,300.0","86,500.0","85,700.0","1.29M","-0.58%"
"Dec 07, 2021","86,500.0","85,800.0","86,500.0","85,400.0","1.53M","1.41%"
"Dec 06, 2021","85,300.0","86,000.0","86,600.0","85,300.0","3.17M","-0.58%"
"Dec 03, 2021","85,800.0","87,600.0","88,000.0","85,800.0","2.90M","-1.83%"
"Dec 02, 2021","87,400.0","87,500.0","88,000.0","87,400.0","1.25M","-0.11%"
"Dec 01, 2021","87,500.0","88,000.0","88,600.0","87,400.0","1.89M","-0.11%"
"Nov 30, 2021","87,600.0","87,600.0","88,800.0","87,600.0","3.18M","0.11%"
"Nov 29, 2021","87,500.0","87,800.0","87,900.0","87,200.0","2.84M","-0.91%"
"Nov 26, 2021","88,300.0","87,600.0","88,800.0","87,500.0","3.02M","0.91%"
