,Open,High,Low,Close,Volume,Log return %
2022-01-17,84.7,85.0,83.9,84.1,931900.0,-0.7109034679106443
2022-01-14,83.1,85.1,82.7,84.7,2516600.0,1.9070899796606324
2022-01-13,83.1,83.7,82.9,83.1,1711600.0,0.0
2022-01-12,83.7,83.8,82.7,83.1,2183600.0,-0.7194275634027197
2022-01-11,83.7,84.0,83.5,83.7,1829000.0,0.0
2022-01-10,83.8,85.0,83.5,83.7,2146400.0,-0.11940299926076894
2022-01-07,84.0,84.19,83.6,83.8,2553900.0,-0.23837913552762505
2022-01-06,84.78,84.78,83.9,84.0,2848200.0,-0.9242867081177419
2022-01-05,85.28,85.57,84.59,84.78,3124600.0,-0.5880294493043307
2022-01-04,84.98,85.96,85.28,85.28,1885600.0,0.35240257308688727
2021-12-31,83.9,86.06,83.9,84.98,2325100.0,1.2790321213505005
2021-12-30,83.8,84.19,83.7,83.9,893100.0,0.11926059851233278
2021-12-29,84.09,84.19,83.7,83.8,945400.0,-0.34546463567693025
2021-12-28,84.68,84.78,83.8,84.09,1544400.0,-0.6991792421857798
2021-12-27,84.59,84.98,84.29,84.68,1138300.0,0.10633899507413898
2021-12-24,83.31,84.59,83.31,84.59,1148400.0,1.5247466329105295
2021-12-23,84.0,84.0,83.11,83.31,2147800.0,-0.824820885649576
2021-12-22,84.09,84.78,83.9,84.0,1844400.0,-0.10708550014929777
2021-12-21,84.29,84.59,84.09,84.09,1192900.0,-0.2375580164584201
2021-12-20,84.29,84.88,84.19,84.29,1807000.0,0.0
2021-12-17,85.18,85.28,84.29,84.29,2660200.0,-1.0503430485676686
2021-12-16,84.88,85.18,84.59,85.18,1610300.0,0.3528170189339854
2021-12-15,84.88,85.28,84.88,84.88,1214100.0,0.0
2021-12-14,84.98,85.47,84.78,84.88,1671200.0,-0.1177440380937952
2021-12-13,84.88,85.37,84.59,84.98,1495700.0,0.11774403809380014
2021-12-10,85.57,85.57,84.39,84.88,1485000.0,-0.8096260124235761
2021-12-09,84.59,85.67,84.29,85.57,1449900.0,1.1518698114040125
2021-12-08,85.08,85.08,84.29,84.59,1294500.0,-0.5775934016113227
2021-12-07,83.9,85.08,84.0,85.08,1530000.0,1.3966376858875826
2021-12-06,84.39,85.18,83.9,83.9,3168200.0,-0.5823297696714601
2021-12-03,85.96,86.55,84.39,84.39,2900400.0,-1.8433160604434415
2021-12-02,86.06,86.55,85.96,85.96,1254100.0,-0.11626556361439616
2021-12-01,86.16,87.14,85.96,86.06,1894500.0,-0.1161305437679492
2021-11-30,86.06,87.34,86.16,86.16,3177100.0,0.11613054376795283
2021-11-29,86.85,86.85,85.77,86.06,2835900.0,-0.9137765276660228
2021-11-26,86.06,87.34,86.06,86.85,3015700.0,0.9137765276660199
2021-11-25,86.06,86.75,85.77,86.06,2175400.0,0.0
2021-11-24,84.88,86.06,85.08,86.06,2124500.0,1.3806233104725885
2021-11-23,84.78,85.28,84.59,84.88,2198800.0,0.11788283812364496
2021-11-22,84.68,85.08,84.49,84.78,3497600.0,0.11802196578265484
2021-11-19,86.55,86.95,84.59,84.68,5151200.0,-2.184283535555377
2021-11-18,87.34,87.34,86.55,86.55,3900000.0,-0.908626643519666
2021-11-17,87.14,88.13,87.14,87.34,2514400.0,0.2292527368118842
2021-11-16,87.54,87.83,87.05,87.14,3251700.0,-0.45798110734533404
2021-11-15,87.83,88.13,87.54,87.54,3268000.0,-0.33072961662766515
2021-11-12,88.13,88.62,87.64,87.83,2120400.0,-0.3409869182542987
2021-11-11,88.23,88.91,87.83,88.13,3380600.0,-0.11340441224443555
2021-11-10,88.32,88.62,87.83,88.23,2666100.0,-0.10195412947716605
2021-11-09,89.31,89.6,88.23,88.32,3695000.0,-1.114688116700959
2021-11-08,87.73,89.6,88.13,89.31,6171800.0,1.784954755550214
2021-11-05,86.95,87.93,87.05,87.73,2654600.0,0.8930675340000584
2021-11-04,86.75,87.24,86.65,86.95,2513000.0,0.23028219733235047
2021-11-03,87.73,88.03,86.75,86.75,5547900.0,-1.123349731332402
2021-11-02,88.52,88.52,87.54,87.73,4888900.0,-0.8964599042556339
2021-11-01,89.21,89.8,88.32,88.52,5083800.0,-0.7764625742843145
2021-10-29,89.11,89.5,88.82,89.21,3748500.0,0.11215793010636453
2021-10-28,88.91,90.0,89.01,89.11,4093700.0,0.22469394915808105
2021-10-27,88.13,89.11,88.23,88.91,3549900.0,0.8811625021478549
2021-10-26,88.62,88.72,87.93,88.13,1641200.0,-0.5544568659774406
2021-10-25,89.01,89.11,88.42,88.62,2769500.0,-0.43911571994966836
2021-10-22,87.64,89.01,87.73,89.01,4487700.0,1.5511208243574381
2021-10-21,88.52,88.62,87.64,87.64,2936500.0,-0.9991000455583124
2021-10-20,88.82,89.11,87.54,88.52,3480500.0,-0.3383334681107308
2021-10-19,88.32,89.01,88.32,88.82,5984500.0,0.5645267335170933
2021-10-18,88.52,88.62,87.73,88.32,2305800.0,-0.22619326540637413
2021-10-15,88.52,89.21,88.13,88.52,3206000.0,0.0
2021-10-14,88.62,89.01,88.13,88.52,2006400.0,-0.11290505884946737
2021-10-13,88.91,89.8,88.52,88.62,3793100.0,-0.3267056361704098
2021-10-12,88.52,89.8,88.62,88.91,3616300.0,0.4396106950198612
2021-10-11,88.13,88.91,88.03,88.52,2474800.0,0.44155180712798253
2021-10-08,87.34,88.52,87.24,88.13,2618600.0,0.9004449054154117
2021-10-07,87.83,87.93,87.34,87.34,2981800.0,-0.55945798716111
2021-10-06,88.13,88.62,87.73,87.83,2498500.0,-0.3409869182542987
2021-10-05,88.72,88.82,88.13,88.13,2268000.0,-0.6672345930542535
2021-10-04,88.32,89.6,88.62,88.72,3060200.0,0.451876051332638
2021-10-01,88.13,88.91,87.64,88.32,3805400.0,0.21535854172160065
2021-09-30,88.13,89.21,88.13,88.13,2799400.0,0.0
2021-09-29,87.83,88.62,87.24,88.13,2763400.0,0.3409869182543119
2021-09-28,87.34,88.42,86.55,87.83,3757200.0,0.5594579871611094
2021-09-27,89.21,89.9,87.34,87.34,5053900.0,-2.118459286827709
2021-09-24,89.31,89.9,89.01,89.21,2990000.0,-0.1120322770102693
2021-09-23,90.0,90.88,88.91,89.31,3941300.0,-0.7696206634470291
2021-09-22,87.34,90.19,87.05,90.0,10050100.0,3.0001122272850194
2021-09-21,87.24,87.44,86.26,87.34,3096300.0,0.11456067239867047
2021-09-20,85.08,87.64,85.87,87.24,5447700.0,2.507095100139183
2021-09-17,84.98,86.95,84.88,85.08,5292600.0,0.11760556453708493
2021-09-16,84.68,85.08,84.49,84.98,1825400.0,0.35364884200009705
2021-09-15,85.57,85.57,84.68,84.68,2425000.0,-1.0455308163298882
2021-09-14,85.77,85.87,85.18,85.57,2482900.0,-0.23345405723666873
2021-09-13,85.08,85.96,84.88,85.77,2956200.0,0.8077304670293729
2021-09-10,83.8,85.57,83.6,85.08,3962100.0,1.5158982843999134
2021-09-09,84.0,84.09,83.6,83.8,2452400.0,-0.23837913552762505
